배우 이름,생년월일,성별,학교
배우 이름,,,
최민식,1962-04-27,남,동국대
황정민,1970-09-01,남,서울예술대학
이범수,1970-01-03,남,고려대
김고은,1991-07-02,여,
김민재,1979-03-20,남,한국예술종합
이준혁,1984-03-13,남,
유해진,1970-01-04,남,서울예술대학
김무열,1982-05-22,남,
이성민,1968-10-15,남,
정우성,1973-03-20,남,
박지환,1980-09-05,남,
이동휘,1985-07-22,남,서울예술대
정해인,1988-04-01,남,
박해준,1976-06-14,남,
박정민,1987-03-24,남,한국예술종합
정만식,1974-12-11,남,
전석호,1984-05-02,남,
김성균,1980-05-25,남,
강하늘,1990-02-21,남,중앙대
김혜수,1970-09-05,여,동국대
하정우,1978-03-11,남,중앙대
염정아,1972-07-28,여,
조정석,1980-12-26,남,
박서준,1988-12-16,남,
오대환,1979-07-05,남,
이도현,1995-04-11,남,
전여빈,1989-00-00,여,
장윤주,1980-11-07,여,
오달수,1968-06-15,남,동의대
유재명,1973-06-03,남,
이병헌,1970-07-12,남,한양대
고규필,1982-05-02,남,
현빈,1982-09-25,남,중앙대
이주명,1993-12-01,여,
한선화,1990-10-06,여,
이지훈,1979-03-27,남,동국대
조인성,1981-07-28,남,전남과학대
조우진,1979-01-16,남,
허준호,1964-03-03,남,서울예술대학
김종수,1964-11-30,남,
곽도원,1974-05-17,남,
주원,1987-09-30,남,성균관대
박보영,1990-02-12,여,단국대
정소민,1989-03-16,여,한국예술종합
김윤석,1968-01-21,남,동의대
김선영,1976-04-10,여,
김시후,1988-01-02,남,대진대
박훈,1981-04-27,남,
이무생,1980-05-10,남,세종대
이주빈,1989-09-18,여,
신승호,1995-11-11,남,
권상우,1976-08-08,남,한남대
백윤식,1947-03-16,남,중앙대대학원
송혜교,1982-02-26,여,세종대
정재영,1970-11-21,남,서울예술대학
강동원,1981-01-18,남,
이솜,1990-01-30,여,
임영웅,1991-06-16,남,
이선균,1975-03-02,남,한국예술종합
이규형,1983-11-29,남,동국대
정준호,1970-10-01,남,경희대언론정보대학원
이유영,1989-12-08,여,
이제훈,1984-07-04,남,한국예술종합
엄상현,1971-12-29,남,
조진웅,1976-03-03,남,경성대
정준호,,,
안보현,1988-05-16,남,
설경구,1968-05-01,남,한양대
이이경,1989-01-08,남,
구교환,1982-12-14,남,
홍사빈,1997-04-18,남,
주지훈,1982-05-16,남,경기대
염혜란,1976,여,
김성규,,남,
박영남,1946-10-08,여,
신혜선,1989-08-31,여,
신승환,1978-12-12,남,
진선규,1977-09-13,남,
서재희,1976-05-15,여,
손석구,1983-02-07,남,
도경수,1993-01-12,남,
이동욱,1981-11-06,남,중부대
라미란,1975-03-06,여,
박지후,2003-11-07,여,
공명,1994-05-26,남,
황우슬혜,1979-08-10,여,
배성우,,남,
정준원,1988-01-13,남,
서현우,1983-11-20,남,
김희선,1977-06-11,여,중앙대
이진욱,1981-09-16,남,청주대
송승헌,1976-10-05,남,경기대
김희애,1967-04-23,여,중앙대신문방송대학원
변요한,1986-04-29,남,
홍경,1996-02-14,남,
최덕문,1970-00-00,남,
박병은,1977-07-14,남,
박명훈,1975-05-28,남,
여진구,1997-08-13,남,"신림중,남강고등"
박지현,1994-11-26,여,
성동일,1967-04-27,남,유한대학
아이유,1993-05-16,여,동덕여자고등
강희선,1960-12-12,여,
김금순,1973-08-21,여,
김선호,1986-05-08,남,
김성오,1978-09-15,남,
이희준,1979-06-29,남,
김성철,1991-12-31,남,
차인표,1967-10-14,남,뉴저지주립대
조여정,1981-02-10,여,동국대
이하늬,1983-03-02,여,
류준열,1986-09-25,남,
고민시,1995-02-15,여,
진경,1972-03-27,여,
이성욱,1979-10-03,남,
김나율,1983-12-16,여,
김태리,1990-04-24,여,
오민애,1965-12-17,여,
이엘,1982-06-26,여,
채수빈,1994-07-10,여,
원진아,1991-03-29,여,
박보검,1993-06-16,남,
김남우,1987-04-30,남,
최낙윤,1984-01-27,남,
성선녀,,여,
김국희,1985-12-01,여,
강태주,1995-05-19,남,
조경이,,여,
김도윤,1981-08-07,남,
김우빈,1989-07-16,남,대경대
이지현,1982-01-07,여,
김기현,1945-05-15,남,
공승연,1993-02-27,여,성신여자대
문유강,1996-00-00,남,
홍소영,1971-07-31,여,
박시윤,,여,
문우진,2009-02-19,남,
임시완,1988-12-01,남,
임채헌,1973-10-16,남,
이지원,2006-08-30,여,
장동건,1972-03-07,남,한국예술종합
심달기,1999-06-12,여,
안재홍,1986-03-31,남,
김동휘,1995-12-26,남,
윤아영,1986-04-08,여,
노윤서,2000-01-25,여,
노상현,1990-07-19,남,
배수지,1994-10-10,여,서울
김환진,1952-10-03,남,
신예은,1998-01-18,여,
김해숙,1955-12-30,여,경희대
기영도,,남,
나문희,1941-11-30,여,창덕여자고등
이신영,1998-01-24,남,
임수정,1979-07-11,여,
장동주,1994-10-25,남,
장혜진,1975-09-05,여,
여민정,1975-05-13,여,
김민주,2001-02-05,여,
윤병희,1981-12-07,남,
장영남,1973-11-25,여,
안장혁,1968-10-08,남,
송중기,1985-09-19,남,성균관대
고창석,1970-10-13,남,서울예술대
김강우,1978-07-11,남,중앙대
유연석,1984-04-11,남,
김대중,1924-01-06,남,
정진운,1991-05-02,남,대진대
유준상,1969-11-28,남,동국대대학원
신민아,1984-04-05,여,동국대
이현우,1993-03-23,남,평촌고등
임세미,1987-05-29,여,
박지영,1969-01-25,여,
강기둥,1987-03-25,남,
오동민,,남,
윤경호,1980-07-05,남,
박성웅,1973-01-09,남,한국외국어대
김다미,,여,
송강호,1967-01-17,남,부산경상대학
김상호,1970-07-24,남,
문재인,1953-01-24,남,
김보라,1995-09-28,여,
조윤희,1982-10-13,여,
김의성,1965-12-17,남,
정용주,1996-07-27,남,
류승룡,1970-11-29,남,서울예술대학
이호정,1997-01-20,여,
홍범기,1974-12-16,남,
김영옥,1937-12-05,여,
최한,1976-08-08,남,
빈찬욱,1996-00-00,남,세종대
진영,1991-11-18,남,
조현정,1978-07-25,여,
정재헌,1975-04-18,남,
김민주,,남,
이경진,1956-10-02,여,
강기영,1983-10-14,남,
정승길,1972-08-10,남,
김주령,1976-09-10,여,동국대
김택,1998-12-26,남,
박정화,1995-05-08,여,
이선호,1960-05-05,여,
이상이,1991-11-27,남,
김하영,,여,
안은진,1991-05-06,여,
남도형,1983-03-12,남,
이레,2006-03-12,여,
지현준,1978-01-16,남,
김동욱,1983-07-29,남,한국예술종합
신용우,1976-03-19,남,
정미숙,1962-12-25,여,
이준혁,1972-03-19,남,
수현,1985-01-25,여,이화여자대
정혜영,1973-12-14,여,서울예술대학
김도훈,1998-09-15,남,중앙대
박주현,1994-10-05,여,
이선,1972-05-19,여,
김희원,1971-01-10,남,서울예술대학
전소니,1991-03-20,여,
김재현,1994-07-15,남,
탕준상,2003-08-13,남,
류승곤,,남,
박소이,2012-03-12,여,
고경표,1990-06-11,남,
황보라,1983-10-02,여,동국대
예수정,1955-03-25,여,
박주환,1982-11-18,남,중앙대
이미숙,1959-04-02,여,고려대
정건주,1995-05-26,남,
박근형,1940-06-07,남,중앙대
김용,,남,
정유정,1991-03-27,여,
문성근,1953-05-28,남,서강대
박경혜,1993-01-05,여,
곽동연,1997-03-19,남,
김은아,1976-02-07,여,
양현민,1981-11-16,남,
이미자,1958-09-06,여,
김남길,1980-03-13,남,사이버한국외국어대
현봉식,1984-10-20,남,
이정하,1998-02-23,남,
허동원,1980-06-09,남,
김연우,1988-08-24,여,
신경선,1983-12-30,남,경희대
허성태,1977-10-20,남,
박신양,1968-11-01,남,동국대
이준영,1997-01-22,남,
윤여정,1947-06-19,여,한양대
권해효,1965-11-06,남,한양대
우현,1964-01-01,남,
신정근,,남,
고아라,1990-02-11,여,
차태현,1976-03-25,남,중앙대언론대학원
정다은,2001-01-26,여,
이혜리,1994-06-09,여,
정성화,1975-01-02,남,
이현욱,1985-06-17,남,
박상훈,1982-12-12,남,
박성근,1971-05-02,남,
함수정,1962-07-27,여,
문남숙,1976-10-17,여,
주종혁,1991-00-00,남,
최원영,1976-01-10,남,
최윤슬,1983-01-27,여,
박윤희,,여,
문정희,1976-01-12,여,한국예술종합
이서환,1973-03-06,남,
최광일,1971-06-08,남,
박세완,1994-09-24,여,
김태우,1971-04-15,남,중앙대
박지윤,1978-04-17,여,
오인성,1965-11-04,남,
박은빈,1992-09-04,여,영파여자고등
김윤진,1973-11-07,여,보스턴대
유성주,1973-11-12,남,
정선혜,1973-11-16,여,
김성연,,여,
임철수,1984-08-22,남,
이순원,1983-02-19,남,
최시원,1987-02-10,남,인하대
신현지,1996-03-15,여,
전배수,1970-06-02,남,
송준석,,남,
김호중,1991-10-02,남,
서정익,1993-02-12,남,
윤제문,1970-03-09,남,
조한철,1973-06-13,남,
이민기,1985-01-16,남,건국대
김홍파,1962-01-05,남,
김영선,1968-12-17,남,
다현,1998-05-28,여,한림연예예술고등
소연,1973-12-10,여,단국대
김정아,1974-12-06,여,
구자형,1965-03-21,남,
강경헌,1977-03-14,여,단국대대학원
박희본,1983-05-11,여,세종대
푸바오,2020-07-20,여,
지창욱,1987-07-05,남,단국대
김수미,1949-09-03,여,고려대언론대학원
이원종,1966-01-01,남,경기대
박정우,1996-01-19,남,
조아람,2000-08-05,여,
홍완표,1981-08-21,남,
윤채나,2016-04-27,여,
김민,1999-01-18,남,
장현성,1970-07-17,남,서울예술대학
송유현,1983-01-08,여,
장민혁,1978-12-28,남,
김다올,1991-04-06,남,
홍승효,,남,
송영규,1970-04-18,남,
장예나,1995-11-27,여,
김서영,1977-01-19,여,
루이바오,2023-07-07,여,
김서형,1973-10-28,여,영동전문대학
석승훈,1989-03-22,남,
정지호,1980-00-00,남,
김채린,,여,
최지수,,여,
정인겸,1968-04-09,남,
하성용,1972-12-12,남,
이승기,1987-01-13,남,동국대
오정세,1977-02-26,남,
이주영,1987-04-24,여,
김준한,1983-03-29,남,
전태열,,남,
이현욱,1985-06-17,남,
조현철,1986-12-24,남,한국예술종합
정국,1997-09-01,남,
황창영,1987-05-26,남,
강말금,1979-01-03,여,
백하이,1999-11-22,여,
김성령,1967-02-08,여,
유상우,,여,
후이바오,2023-07-07,여,
변우석,1991-10-31,남,
신윤주,1995-10-14,여,
이수경,1996-10-24,여,
하도권,,남,
김수안,2006-01-27,여,
신소율,1987-08-05,여,국민대
장동윤,1992-07-12,남,
김소희,,여,
슈가,1993-03-09,남,
강수진,1965-10-19,남,서울예술대
최병모,1972-01-14,남,
김시우,2012-11-26,남,
권유나,,여,
임성재,1987-01-18,남,
강시현,1984-03-01,여,
