,행정구역(시군구)별,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12,2016.01,2016.02,2016.03,2016.04,2016.05,2016.06,2016.07,2016.08,2016.09,2016.10,2016.11,2016.12,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,서울특별시,691,-4219,-6098,-6496,-9543,-7196,-8457,-8170,-10000,-9430,-13416,-3644,-4276,-4673,-6609,-7195,-5989,-8122,-10562,-6820,-9500,-11458,-12717,-138,934,-4444,-4223,-3729,-4635,-5769,-6540,-10624,-8638,-12643,-12741,-5659,-6431,-6444,-8440,-9481,-6922,-7511,-7463,-6072,-8891,-10024,-8465,665,4350,-422,-3330,-4824,-4918,-5729,-6527,-4490,-4109,-3712,-3470,4402,3453,-3307,-6868,-2291,-3650,-5417,-7182,-9015,-10073,-9388,-11306,-10496,-9363,-50122,-9773,-13356,-9365,-7837,-7926,-7971,-9828,-11548,-11422,-3532,2525,-1673,-6298,-3593,-2080,-1596,-4757,-37686,-7046,-6886,-8464,-3499,2710,-1179,-3694,-3825,-4792,-2833,-1794,-1926,-7291,-9324,-4891,-1709,2380,-1966,-6470,-6339,-5647,-5883,-4599,-4806,-7691,-7809,-3667,811817,-40412,-81052,-91565,-73190,-91803,-36516,-60642,-159007,-81086,-42338,-54206
1,부산광역시,41,-2100,-400,367,1685,1464,-1048,-1203,-1015,-847,-1065,-416,-169,-748,-470,-1141,-1371,-1367,-890,-1384,-2032,-2118,-3142,-1750,-1301,-2437,-1759,-2070,-2642,-1734,-653,-1379,-4695,-3575,-3881,-3598,-1648,-2304,-2396,-2573,-2523,-2413,-2149,-1456,-2737,-2316,-3087,-3194,-2029,-2139,-2341,-2155,-1963,-2315,-2108,-1707,-2631,-2150,-2880,-2022,-894,-993,-1585,-1405,-2519,-1647,-1704,-1323,-2151,-2084,-3568,-2558,-1627,-15362,-2695,-2370,-2976,-2577,-2254,-764,-2452,-2684,-3247,-1506,-1478,-3892,-3290,-2047,-1430,-2142,-3151,-7618,-1540,-2010,-2464,-1705,-591,-1977,-2137,-2141,-2268,-1941,-2312,-1904,-2623,-2717,-2134,-2398,-1563,-2109,-2345,-2196,-2002,-2469,-2687,-2120,-2411,-2069,-2395,261037,-8234,-5624,-15248,-27876,-29200,-27612,-21895,-41566,-32568,-24450,-26764
2,대구광역시,-75,-686,-352,322,-730,-338,-178,-37,-737,-508,-1510,-6,-1234,-530,-396,-529,-270,-8,681,155,-208,51,-978,131,-110,-1090,-383,-629,-491,-496,-1602,-1651,-1050,-629,-1326,-922,-843,-1291,-1039,-1200,-319,-793,-1439,-931,-1309,-1143,-2233,-1387,-2244,-2309,-1675,-1863,-1813,-1812,-1921,-1475,-1742,-1947,-3550,-1543,-3605,685,-2045,-2464,-1105,68,206,-1379,-2678,-2312,-3513,-2533,-2622,-4316,-2579,-3356,-5294,-1897,-2123,-839,-2066,-2491,-2818,-1554,-2763,-601,-1921,-1897,-1370,-1186,-2184,-4201,-883,-1233,-1928,-811,-2218,-1674,-1107,-849,-616,22670,-622,-663,-823,-934,-1084,-1116,-1836,-2046,-1292,-867,-620,-523,-627,-510,-631,-558,-705,137959,-8324,-5435,-3272,-9326,-13462,-23738,-19685,-32934,-21721,11269,-11331
3,인천광역시,1727,1815,1889,1807,2157,2448,2263,1956,2092,1548,1237,1380,1401,1221,2324,1818,1355,1903,1685,1534,1357,820,456,940,257,364,675,965,645,888,211,-716,800,143,301,2229,858,-187,1034,779,628,-42,-635,-90,217,511,798,1274,147,450,187,479,-155,-196,-303,279,180,265,-223,-907,-1164,-2266,-1717,-909,-2846,-1652,-2074,-938,-320,74,521,-376,-747,-5244,-247,168,-15,1073,989,3366,3214,1310,2056,775,1828,1721,561,1907,1899,3514,2537,-3020,2291,2432,2494,2188,2286,2693,1857,1751,660,2804,3599,2766,2358,3216,3918,3044,2696,2895,2439,1389,1200,1924,1773,1750,1408,661,2421,-141228,22826,23207,17254,5473,6100,2384,-14198,5547,18939,30096,23600
4,광주광역시,449,164,105,-397,-238,-258,-564,-562,-987,307,-2711,603,-649,-535,201,498,-32,196,-49,-53,-468,-527,-2170,369,-1056,-761,-764,-261,-290,-36,227,-3,77,-388,-2558,267,-937,-1067,-1061,-408,181,458,260,327,114,-895,-1673,496,-624,-278,10,63,21,462,-48,194,-272,-445,-2447,220,-567,-416,391,-563,-485,-339,-555,-202,-958,-1001,-1931,-947,-1162,-2480,-686,-1633,-507,-165,-512,857,-373,-316,-527,25,-1604,-1569,-1547,-904,-634,-675,-306,-1541,-205,-602,-999,-1234,-889,-1419,-883,-886,-921,-513,-495,-811,-1239,-938,-1585,-996,-1210,-1257,-912,-608,-648,-620,-923,-706,-809,-924,-1202,64488,2974,-3685,-2985,-5444,-4434,-2868,-6406,-8451,-10561,-11813,-10815
5,대전광역시,-1856,-1341,-776,-746,-912,-461,-1170,-687,-1050,-1146,-2367,-751,-308,-598,-214,-410,-286,83,-126,76,-454,-393,-1024,-16,-477,-1688,-793,-1809,-1450,-540,-481,-375,-912,-1522,-2080,-849,-2191,-1615,-1449,-889,-356,151,-743,-632,-1065,-873,-1780,-1211,-1120,-958,-1138,-1111,-1460,-1237,-1181,-879,-1205,-1481,-2085,-718,-1027,-1267,-208,265,-875,-815,-794,-332,-1543,-1663,-2011,-591,-1227,-3601,-844,-458,-1054,-807,-621,379,-830,-553,-1424,-979,-410,-805,-697,-427,-532,-219,58,-1638,261,-114,-677,-266,69,-356,-305,7,-95,-228,-61,-242,-630,-859,-890,-654,-26,153,-417,-153,-561,-669,37,530,-362,-407,-530,93654,-1002,-13034,-4405,-12143,-12291,-15066,-10988,-11631,-6179,-3856,-3059
6,울산광역시,153,1307,741,225,110,464,408,340,2070,1001,-517,34,-425,-184,-34,222,-4,-77,-61,-40,213,-287,-587,-648,-1699,-1114,-342,-541,-435,-583,-1033,-524,143,-211,-185,-643,-1338,-1077,-771,-646,-1063,-747,-883,-544,-503,-657,-637,-837,-1051,-935,-507,-608,-384,-410,-597,-421,-464,-487,-903,-982,-1327,-1147,-465,-950,-958,-828,-1052,-942,-787,-1236,-1328,-647,-2417,-3699,-1091,-988,-806,-642,-1268,-1223,-670,-71,-903,-492,-1654,-1436,-806,-722,-873,-856,-1295,-1267,-484,-336,-708,-589,-1409,-919,-612,-688,-431,-689,-878,-281,-136,-279,-91,-259,-1241,-825,-277,-450,-305,-438,-635,-503,-188,-228,-263,58431,9897,7157,-1230,-7172,-9509,-7604,-12002,-14425,-10929,-7002,-5612
7,세종특별자치시,8046,5158,3736,3372,3184,4266,4695,3791,4250,3830,4840,4534,4690,3353,2027,2484,2355,1790,2393,1624,2399,2027,2488,1891,2661,3578,2934,5045,3899,3019,3027,2308,2682,2787,3221,3098,4881,3103,3859,2563,2728,2371,2945,2420,2335,1700,2023,2688,3512,2367,1724,1360,1866,2655,1800,1659,2599,2291,1928,1753,1460,1004,424,157,-32,876,1015,782,2993,2423,2401,2040,1698,893,934,640,959,1369,945,1251,1716,1189,2430,2482,2022,897,900,1144,875,674,550,486,333,512,821,905,789,324,216,225,76,66,-239,-21,147,177,269,419,249,218,315,48,166,848,582,73,535,625,82,-268532,33972,54759,32164,37052,34026,26449,15256,16064,11696,2934,4160
8,경기도,10233,15353,12982,13620,13164,12861,15680,14961,15515,13710,17816,13868,14924,14493,12706,16232,16048,18448,20569,16384,17452,16190,16860,11840,12646,12717,9978,11214,8566,11637,14636,17619,13688,16840,15734,16550,17565,17751,15843,17044,16528,17989,19321,14852,17885,15851,16079,13495,14048,11883,12929,15974,13696,16833,17932,13276,11693,9265,11489,10702,15009,23598,22279,12787,13979,13871,18823,17771,12130,12844,13555,22485,22259,-5921,13961,9112,11778,12179,17652,11765,7293,8396,7477,6000,2919,1567,1872,3688,4471,3395,694,-15703,5155,3730,6194,6659,4709,2746,4373,4678,6372,4086,1909,1375,1501,295,2686,4429,4366,2835,5705,6554,6728,8031,6404,4772,6086,3914,4040,-1460055,123200,164776,194174,157115,203258,162513,187348,138436,23982,41389,63864
9,강원특별자치도,-722,269,624,1383,1972,571,-91,436,1139,-43,329,-314,-1177,-171,325,-349,782,33,208,639,538,188,597,-1594,-960,-517,-156,-126,376,-442,68,313,231,1345,798,-2064,-1819,-107,-700,-161,-448,-585,-590,112,-339,115,-504,-1359,-1248,43,306,-18,79,-141,66,-59,176,502,103,-962,-1019,-944,-797,859,643,812,595,415,732,538,466,-1144,-821,-4476,-224,-684,39,610,130,495,952,556,219,168,391,-15,2,-33,59,114,-377,-1405,-57,-476,-365,-1125,-1306,-348,-363,-275,-464,-567,-660,-678,-1212,-865,-828,-1564,-1619,-426,-537,-709,-410,-665,-811,-656,-865,-845,-934,24497,2179,5065,1299,-664,-7090,-1550,1338,-4348,-1994,-8691,-10041
10,충청북도,-278,495,543,751,2139,-341,-48,288,576,397,899,30,-201,544,987,1102,529,596,486,523,720,1269,1088,49,327,-304,795,81,61,183,205,291,264,428,427,-529,163,642,456,658,-50,389,163,410,975,475,1068,-97,-287,-93,713,366,-204,-282,34,-63,160,152,356,-616,-792,-960,-1026,97,883,343,226,374,566,578,1157,-1179,-536,-3408,589,652,548,-2,-322,-414,183,71,408,-330,-75,462,-200,-251,85,45,-277,-1262,-46,-294,-226,-599,-1025,622,53,-102,-76,309,97,-11,-115,-173,-569,-1314,-1208,97,-190,347,284,-303,-466,142,-154,396,77,-18445,6201,5019,7673,2807,4820,755,830,-3410,-2369,-1589,-2292
11,충청남도,-126,1305,1380,1487,1348,665,2224,981,1026,1616,2693,923,1458,1062,1227,1715,1810,893,1531,1563,1795,2212,2889,679,2518,2403,2136,1496,1603,1668,2189,1614,1251,1302,1184,915,414,1369,1198,952,602,311,837,408,748,885,873,-485,-425,406,134,-180,123,-506,-189,-305,-236,-317,-593,-1254,-1460,-1246,-1292,53,1261,921,-173,40,-212,260,422,-1192,-295,-3719,629,808,140,805,-22,-85,879,552,-272,-619,274,187,197,365,540,810,71,-813,1064,1024,680,-124,712,1025,683,500,541,266,437,553,933,1028,528,390,800,1436,1083,790,199,354,110,92,637,622,-58,-88943,14642,15376,19078,20043,9512,-2573,-2680,-1772,3780,7082,6455
12,전북특별자치도,-290,-762,-66,65,-297,-314,-329,230,42,357,57,-1357,-820,-843,-507,-550,266,-288,-380,-503,-686,432,316,-1493,-1343,-1470,-782,-776,-1112,-894,-936,-535,-762,-802,721,-2913,-2151,-1477,-977,-945,-1505,-1630,-1582,-883,-1186,-1309,-1217,-2300,-2305,-1728,-1226,-1402,-1154,-1336,-1399,-1099,-1070,-1014,-1882,-1615,-2190,-2176,-1317,-1522,-1295,-758,-950,-653,-504,-733,-1100,-1356,-1429,-3869,-1119,-1649,-337,-443,-1426,-1366,-1340,-1154,-1761,-1463,-1469,-1718,-1381,-1594,-951,-1330,-1285,-3068,-820,-937,-1232,-1378,-1705,-1349,-994,-1177,-983,-852,-1354,-1154,-1366,-1112,-1426,-1836,-1603,-1942,-1329,-1135,-1027,-1224,-1478,-1543,-887,-1002,-1061,134275,-1405,-1849,-4920,-10184,-17775,-17915,-14813,-17249,-17248,-14850,-16067
13,전라남도,-1000,-946,-62,171,255,408,563,793,1214,-243,3623,-2092,-1204,-461,-322,-468,-135,-622,-809,-806,-55,238,1654,-1534,-1583,-1356,163,-516,-1023,-384,-1707,-741,-557,-250,1998,-2980,-2136,-885,-11,-686,-1735,-1694,-2012,-1648,-1217,98,1452,-4066,-3042,-1630,-1049,-1465,-1131,-1731,-1762,-1179,-876,549,3157,-4033,-2818,-2604,-2207,-1138,-1327,-1279,-1354,-861,-444,-123,992,-974,-780,-4984,-663,-1725,-1502,-1223,-1345,-2663,-1037,-789,-1061,-199,-1153,-1950,-951,-876,-1234,-906,-1430,-3646,-1301,-673,-787,-990,-1849,-986,-433,-964,-921,-1483,-1732,-1044,-1472,-948,-658,-1545,-2320,-1917,-1236,-1482,-750,-1220,-1357,-894,-1075,-811,-791,118353,-1392,3216,-5082,-7490,-13454,-14225,-17196,-18746,-15106,-13480,-15398
14,경상북도,-806,-1167,-465,-163,1117,1108,1056,506,417,1308,640,-1666,-105,93,90,674,473,-175,-917,152,-488,-114,-445,-1595,-2474,-1785,-734,-951,-1132,-753,-303,831,292,84,-172,-2959,-3114,-1972,-764,-581,-1226,-1544,-1274,-510,-858,110,-183,-2826,-2418,-551,-661,-644,119,-1014,-1179,-862,-723,-297,61,-3328,-3552,-5538,-2364,-2294,-2267,-2492,-3069,-929,-240,-518,177,-1783,-892,-1184,333,-2304,-1191,-752,-1395,-1910,-419,-457,-859,-2299,-2284,-2385,-2089,-1375,-2214,-1947,-2660,-4290,-1677,-1337,-1560,-2965,-3128,-1189,-1005,-1479,-1866,-24795,-2442,-1699,-1839,-1823,-1938,-2954,-2930,-1480,-840,-699,-1247,-2102,-2026,-2091,-1984,-1992,-2595,168056,1354,2032,-2428,-8692,-14875,-10995,-26414,-12813,-26117,-46168,-22940
15,경상남도,99,1643,1822,1566,372,-52,632,2403,1966,1265,1948,62,-69,326,1637,1072,1062,479,-197,621,1120,916,2140,194,-1799,-570,7,883,748,1267,-134,862,2306,1385,1384,-423,-1551,-914,-390,500,-143,-235,-518,-699,-674,-310,-1059,-774,-2198,-1067,-1016,-1076,-868,-703,-1004,-1243,-156,-609,-721,-1209,-2516,-3487,-1961,-2033,-1893,-1817,-2468,-1399,-939,-1768,-847,-1820,-2351,-5582,-840,-2325,-1458,-1105,-2362,-3102,-1110,-1796,-2182,-2745,-4433,-3731,-2582,-2676,-2401,-1906,-2718,-4521,-1975,-1646,-2356,-2821,-5291,-3153,-1859,-2351,-1767,-1890,-3052,-1300,-1770,-1620,-2461,-2455,-4471,-2858,-2150,-2084,-916,-1099,-1496,-1332,-1165,-1061,-1691,105440,16437,14445,9169,6533,-6416,-11435,-22337,-26033,-33690,-29335,-22778
16,제주특별자치도,1287,1432,1461,1353,1392,1788,1409,1562,1652,1291,1443,1056,1991,1778,1841,1741,1472,1526,1372,1027,1107,1182,1109,791,1348,1188,1216,1407,950,1693,1698,1382,1480,1263,1070,1084,1022,1252,1070,1122,893,1053,938,634,535,378,127,146,185,598,528,680,443,438,312,89,128,157,94,-240,127,-368,87,198,523,597,611,424,658,395,634,-20,522,-1163,510,393,416,583,7,196,490,199,-9,-68,452,75,195,353,246,479,525,-590,-102,49,-214,-666,-403,-59,84,-58,-225,-22,-321,-172,-198,-274,-593,-899,-688,-562,-328,-212,-311,-184,-528,-476,-227,-205,-264,-76562,13540,17049,17202,15486,10108,3798,3646,2124,1400,-2907,-4884
